Household_ID,Total_HH_Income,HH_Weight
72500,244643,528.55
50315,48030,3379.8
23423,173781,2522.57
78290,170341,2106.75
87978,770019,495.62
87979,101695,381.66
30957,159953,1400.02
40539,205803,2632.61
34381,178756,362.53
65114,159001,1869.28
88176,95210,403.12
5006,317550,1095.9
14697,188351,1963.47
4011,25152,2199.09
4307,74253,2610.67
85295,1800,2263.18
6462,95001,1905.61
9372,155131,3570.94
41740,38420,2391.93
24350,111040,2312.23
2127,148730,424.93
42681,106404,2197.37
751,58000,1264.27
9098,187011,2401.68
78466,35645,2390.35
46085,9408,3460.28
2997,192056,609.98
57011,18582,1430.72
61271,269700,2928.48
47020,126600,2225.28
49474,48085,1450.74
53140,18380,2286.68
13743,222180,2315.35
87059,35400,261.35
25991,139725,2635.5
71061,125027,2326.1
5087,230888,1494.85
86287,29681,3664.7
89073,262580,454.67
56479,21808,1137.2
11057,197147,2505.34
86953,285171,343.67
15771,217086,3906.74
21286,6601,3558.36
83738,84000,2186.68
584,207029,690.52
34124,296291,213.87
72451,31005,531.73
8192,5741,6075.03
81691,94800,2262.19
65028,308035,2425.98
77435,46697,2265.39
46379,103000,2340.53
25599,109187,3486.43
24102,286905,1909.62
31795,57468,580.54
52978,33378,1160.4
36620,355711,1710.08
62404,1255377,3096.62
28399,121245,327.87
15176,68120,2418.2
64219,57050,3634.18
45442,92637,2280.71
79732,52591,3433.36
10620,39678,2410.29
63890,33500,2631.87
61435,58272,1998.82
10877,152453,3573.34
50359,53569,3418.23
41639,31004,1592.71
53365,40734,723.88
24651,610680,2492.82
37300,24160,496.39
65868,28484,290.34
77216,32000,1678.2
10412,294892,2706.63
79668,118235,1236.34
38642,110015,398.16
68257,144000,573.41
24885,105218,1287.91
85695,20,3182.79
28351,81770,629.08
12115,132250,3713.6
63113,126071,2041.19
35195,240500,397.41
78349,175320,3892.91
79738,31782,3933.16
51793,7150,1291.52
46619,45002,4473.39
1337,147777,564.74
61845,42002,2459.7
83838,72645,2293.6
60989,136997,5102.17
6072,46426,3454.77
57068,122400,1716.54
70191,62632,3434.52
76882,129611,803.84
21961,60882,3541.93
45738,85002,3699.08
70945,202904,4006.44
23666,68302,1986.97
7653,157602,4094.43
60118,49200,1308.47
52753,510216,1040.96
59780,92226,1387.91
5366,73592,687.16
74378,134501,2620.31
86622,48002,2424.1
63603,65560,4119.35
70970,167807,2361.14
43112,184727,3313.19
62982,65856,3041.53
56372,23000,772.96
87416,89902,336.36
57973,122855,1156.95
82641,67665,2416.04
25255,41431,3305.5
82998,100075,2073.43
64863,32000,2155.29
15318,79005,5983.42
3914,227688,2021.29
54402,12162,624.74
24370,244520,2252.73
82434,109010,4098.46
43635,108651,5191.22
3570,74555,1494.55
9535,6000,3363.46
20782,132470,2622.54
31931,87203,870.8
30695,95101,1466.03
49370,29388,3687.59
27052,78400,327
2025,198130,330.55
77982,1508,4614.11
39736,123107,3021.56
30416,80650,1507.66
88979,186634,485.95
36958,37200,1643.01
87637,87301,566.61
23468,13314,4121.06
15924,213000,3988.09
25683,243502,1584.02
12969,103494,3939.47
25854,253051,2167.35
38125,12810,756.12
59419,29451,1877.14
15867,36940,8476.64
88733,38235,388.97
20440,99572,2146.88
18836,83404,4344.55
80300,65005,1961.41
62415,128784,2417.74
27770,85400,230.78
11734,102002,2973.88
70437,250752,2678.98
548,94222,1127.86
85193,80000,2446.72
26050,95300,1955.31
10039,127513,2660.8
59372,105525,2396.91
61516,68124,2174.61
50139,101501,1684.55
63331,120020,3173.98
26503,43460,3305.98
44686,47470,2174.37
3376,89673,3084.15
80910,89500,1790.11
52586,30001,1472.13
55882,80000,693.65
29811,172824,827.48
84163,159358,2622.23
55406,45000,867.31
13062,1034621,4474.76
78140,78304,2325.15
66054,88192,663.6
86572,94842,2158.17
2719,67100,236.96
49665,154100,1895.32
70359,80000,1526
29892,92077,1021.95
52245,76942,1220.84
15949,13656,3510.3
27465,66000,208.22
13833,115650,6004.68
64344,96000,1344.28
76666,136897,1311.78
64200,55200,2399.21
67673,2000,858.53
71778,232002,1015.65
68792,20750,352.7
87008,11220,424.41
84220,85000,2728.98
57695,61000,1879.95
68237,155895,703.96
20554,25201,3908
41785,69200,1966.77
60882,112007,3135.59
25334,300560,1670.48
39793,15000,2884.44
11053,55000,2633.04
89146,454066,403.49
61472,79800,3009.18
88781,64305,531.45
24802,111265,1681.97
1602,98507,916.24
27843,141773,316.75
60126,66050,1414.16
28265,118600,497.36
60609,66214,7427.4
59420,102150,1325.41
9326,544376,6103.37
70708,11640,1763.37
17703,74070,2449.22
47198,92683,2146.69
72134,30400,565.44
13954,61000,3213.42
86438,1144039,1719.2
3542,136471,1295.82
65616,317858,4116.15
61956,77503,2921.22
87269,186556,494.08
43813,105000,3377.79
23296,54500,1826.16
85935,391672,2128.12
75355,146221,832.6
12980,38500,3667.21
46097,16512,2999.05
31183,47030,451.07
12199,228949,4504.99
31709,17580,492.07
25750,63400,3483.78
5070,50010,2729.65
30725,13200,1139.92
83483,268599,2371.32
86534,330004,2042.99
59541,145100,1266.49
81082,24010,2001.8
25552,135100,2343.94
50209,141937,1444.8
45858,128040,4389.67
26575,72930,408.16
25168,201366,1357.34
50438,77000,1403.01
46473,89000,2520.3
36167,30564,4168.51
19157,26250,2215.47
62297,105660,2277.96
58954,97000,1233.07
80141,38400,1827.77
82200,155062,2397.28
83869,223008,4338.83
61625,46000,5522.68
4369,0,1930.24
53523,17520,1000.79
59977,65005,2070.16
16545,292016,2415.83
79104,75513,2221.39
7889,49110,2675.89
26151,272000,4123.8
37844,47412,569.91
53516,77157,2769.75
50905,235067,2927.07
81169,71004,2074.65
33728,76000,204.99
8083,38137,8036.51
82915,40295,1678.27
71140,100102,3701.31
59392,170851,1359.48
80073,100487,3620.64
27444,130000,200.81
48619,251359,2115.02
41552,124878,1280.17
12224,53666,3585.02
29869,113208,786.56
38397,55000,457.37
52575,34001,1175.89
25196,105000,1495.66
40001,187963,2290.68
6983,82009,2469.24
69676,67500,307.16
79616,33378,2714.78
14760,48780,2295.16
27232,21820,257.13
15879,133173,2506.43
74481,17376,1800.37
83081,55003,1924.88
30145,39248,2061.2
46082,109025,2231.59
43325,48000,2615.93
76063,350350,1843.93
81590,17002,2182.35
68514,76090,734.28
12371,95653,3598.23
49319,75505,3608.23
85079,277201,4793.94
49436,130035,3214.38
19487,82001,1380.54
88700,173075,444.87
26789,74300,249.6
79657,146502,1881.92
58056,162004,932.58
41029,0,1726.84
75925,78000,2779.17
79930,29328,2392.9
79511,166088,1423.16
38263,16001,897.26
7967,600,2891.52
66722,57292,655.25
64330,84104,2538.25
88184,179006,405.48
57824,90000,913.23
69657,86755,147.86
43332,85010,3630.33
84586,57020,2295.72
79343,164370,1819.41
4275,22791,3103.2
87198,115154,394.62
1584,95200,976.05
51267,67000,2406.64
2846,0,421.11
16145,200753,4064.92
88545,85240,436.27
57336,102520,1543.08
81328,73182,1702.34
66421,79858,374.62
83484,83006,1788.45
21236,72450,2893.18
30513,266322,1527.12
22039,26400,2691.69
20853,79782,2341.04
74469,64500,1960.16
37448,27114,445.2
70758,75000,1763.07
45888,124385,2410.59
7957,52000,2113.35
62129,25000,2803.05
26676,56611,594.01
31405,0,1071.94
74837,238026,1305.72
50418,95702,2802.06
2869,363690,746.5
49273,56712,2195.63
48248,60000,1728.02
22691,39676,4417.87
85973,103073,1989.56
37611,160683,605.33
50388,96300,2981.02
24179,434420,2532.32
86253,70004,3591.5
46590,150000,3132.23
86254,35000,2398.72
74971,38558,1483.74
64297,80010,3775.12
20037,88006,4445.4
7177,10458,3621.5
54451,74786,1328.78
18498,63384,1927.51
70290,210586,3904.21
84807,35600,2689.6
61245,89932,2953.26
12893,96024,1908.4
15143,127515,3160.49
31648,35000,678.06
54742,50002,1014.52
61148,103429,1971.33
47189,22764,2708.47
553,49426,1281.57
63381,202628,3916.87
75217,134363,953.62
6519,249007,2076.08
82806,240168,2200.37
12116,139880,2722.85
76355,30400,1776.78
65430,40000,3174.13
57219,96822,730.79
48289,170074,2915.04
53085,60399,3528.46
23096,111623,1990.6
24621,87137,2486.93
86997,30802,340.93
41058,105000,3133.5
80994,25000,2480.79
68176,23607,1281.26
38723,25350,3724.19
7165,122530,2224.49
48341,61176,1977.3
83439,185100,2182.55
61111,176805,3247.28
64925,219530,1977.19
84857,168042,2257.97
70424,85035,3089.21
54250,50500,1497.55
36829,218800,2170.25
41334,1141823,2702.24
74689,75606,819.58
48523,16900,3839.75
8090,107033,2725.77
16864,64803,3280.64
37913,70501,398.21
62946,195451,3224.87
15736,37572,3327.71
23098,65010,1710.59
2767,41246,403.01
62633,298851,3544.22
66844,411543,546.92
47799,54000,2501.47
44359,0,2116.7
44078,16269,3167.84
60891,431000,2059.22
63368,100020,2479.64
82032,105550,2562.86
20965,49548,3766.54
74678,57864,718.72
37809,186200,473.61
55815,120727,877.07
18536,79700,4174.86
3857,182900,1307.34
33132,273044,2569.26
55941,152700,836.31
58587,110111,1655.62
83569,71883,1715.3
36037,73716,4079.1
66023,128000,537.83
45482,17000,2082.6
48477,65005,2271.93
20060,71322,4080.02
30295,92000,2602.39
56086,334760,756.29
32130,19076,1891.36
47143,0,2368.24
60121,92600,1792.9
25777,63992,4679.56
77208,97043,3148
47630,48700,4263.12
70166,19704,4175.51
28664,120075,345.62
76846,76944,1160.6
85182,72800,2766.29
73656,185325,4545.96
57478,54510,2009.77
15607,126803,3253.82
39825,127006,5752.49
21480,179000,2962.1
72685,114551,1031.02
24802,111265,1829.48
62996,42600,1889.85
82087,1250,1952.93
67815,64925,669.62
76131,375602,817.25
67718,112555,933.04
52970,132001,3208.94
27675,74770,428.29
31347,4098,591.64
63233,201815,2871.88
76202,16200,1398.09
62160,184414,2299.78
5921,88040,840.84
60942,20300,5403.37
12438,36893,4074.9
86692,144273,2021.63
82389,621892,4861.02
23168,76003,5777.06
64863,32000,2592.31
79960,77339,2333.43
16760,141002,1815.85
9409,238135,3373.24
76722,6460,1123.36
44468,57515,2677.32
49633,126200,1963.4
4078,69200,1827.54
36182,107117,3605.16
79153,79000,2701.09
26425,168000,3955.94
63378,168145,3553.16
18345,58015,6093.09
61654,226200,4270.7
81723,220015,2034.9
25042,117012,1569.69
75671,354116,1031.17
67364,97300,353.56
37516,122001,835.55
13426,142140,3200.38
36176,72273,2415.16
48292,215212,2411.67
71969,47802,911.36
38217,185000,736.4
30415,203258,2640.66
22634,210522,3548.93
81221,55000,1590.38
17130,21000,2159.27
16253,105709,2731.67
69049,145692,334.88
88253,29317,704.7
81734,91731,1970.58
56092,60000,1413.76
73480,192300,3454.25
22534,88493,1504.34
59693,10200,2297.31
53104,207555,2033.67
77725,381532,1835.46
41177,251803,1602.16
79830,80000,1769.4
32686,18000,2878.74
53147,71001,1879.58
83415,142804,2880.57
20378,14132,3769.93
81147,67010,2301
58817,505,875.19
76913,19800,3583.27
16216,55002,3173.13
30470,147823,1201.2
41370,43422,2723.82
974,164028,1108.35
14758,79702,1898.07
17736,35010,2571.29
66723,105189,438.42
13959,220311,2863.21
86451,195379,3602.72
41058,105000,2427
234,98063,2069.85
72584,80841,1040.81
75854,120606,1173.91
64381,2140,3865.16
39140,577729,2120.19
24835,157183,971.82
28906,24102,1176.01
66501,0,893.35
48554,125000,3857.66
59984,16602,1619.3
9136,17935,4903.96
77679,81264,1789.3
72673,189000,473.47
9518,94037,4019.94
72179,125782,508.68
9366,60000,3810.51
53293,77546,3073.99
81819,40000,1800.78
33004,245000,3161.86
60851,69500,3263.63
36124,65100,2159.08
10094,20374,4569.42
76174,67660,1971.17
26927,127096,403.5
85154,330503,2439.19
24889,73061,1264.22
68769,93500,367.8
22860,112865,4128.93
60731,44280,2692.3
10927,30378,4127.94
18087,34599,3974.36
73865,97541,2335.34
73808,82003,2198.57
83984,80564,3735.84
36001,233112,2284.12
13148,164769,3959.93
74996,34400,1467.06
58271,82697,1534.05
44110,157086,4671.42
66709,267561,301.36
13733,30001,4526.36
81749,40000,1898.37
66408,89800,457.87
88672,125069,489.37
50571,58002,3162.03
10208,27604,4247.2
11614,165670,2563.34
34620,110066,332.96
80605,133600,2445.29
60726,61829,2246.45
21768,76085,2425.81
43358,172004,5593.02
87851,102242,484.23
56497,10880,1451.24
16161,60000,6144.63
34011,249496,254.91
44570,44000,2539.96
14816,75742,3115.81
75795,203508,979.29
79527,25502,1423.97
83672,60602,1590.66
3326,625671,2206.91
86746,45000,2085.86
2087,34737,416.81
20730,59000,2528.14
50103,20618,3383.69
37831,58384,396.59
51198,70001,1628.97
32131,73309,3167.74
81157,125645,1961.21
84611,168905,1738.93
36355,125718,2213.03
87467,78572,394.4
61590,49951,4271.33
53463,82697,2184.23
3700,190400,1529.07
5112,135405,682.3
67157,370670,562.31
56399,376576,934.03
17434,103611,2415.71
88266,67412,448.8
21621,946462,2476.86
42671,75002,2658.17
77975,17007,2073.71
46751,287002,4289.37
79956,11987,1897.08
5826,111109,967.43
10320,13432,3898.89
23836,62000,3237.38
13395,260013,2309.43
56574,86487,887.2
62930,56001,3349.38
18716,61115,2022.7
53642,99783,1633.39
63243,20944,3458.47
9803,207450,3539.72
7420,61660,2603.93
29417,93103,836.49
76353,81425,988.75
22620,77265,3578.52
32567,100704,3046.7
59369,87515,1444.13
55725,35000,1154.4
82847,145702,2680.36
31491,21604,466.59
75151,97002,996.67
47931,25000,4711.28
46362,44040,4967.59
11989,42050,4331.29
13795,1645824,3907.94
77258,281965,1639.37
74228,143001,4720.44
80868,65000,1964.65
37732,236002,334.69
9741,249249,2744.28
17543,86050,3213.7
30966,112120,1913.5
52841,46011,1461.26
64578,90000,1936.72
2139,127161,397.56
24505,33733,1739.99
77394,144136,1814.78
45508,133786,3621.82
6546,10003,3584.59
81211,129677,2228.26
82203,98590,1727.25
66456,13300,323.34
82018,1416681,2640
52507,55075,966.46
63681,130585,4511.34
72168,18752,638.13
17484,27060,4334.95
12040,312434,3224.72
54513,5200,1158.61
69080,28001,439.67
35821,62201,1986.78
80205,129427,1940.8
46654,48354,1556.97
70232,51000,3947.12
41001,146256,3224.08
34523,202116,327.99
23285,64470,3215.37
33529,21900,149.6
9981,263640,3033.91
31094,52001,530.16
15465,129860,4878.29
38335,78555,895.88
68342,62020,532.8
61738,20,6838.11
2706,287000,321.59
4916,105108,2935.25
73892,80003,2712.32
68411,110526,491.87
20918,91200,2393.52
411,16700,1336.47
83231,48862,2008.08
59073,274216,1231.4
41268,285000,3618.99
38705,114006,647.72
13777,157035,2564.89
60775,61400,4078.19
67620,24290,1113.05
85985,101395,2060.45
23835,246434,5445.23
594,47894,945.68
77431,92155,4964.52
47307,52200,3127.55
30602,106012,1049.71
53095,43099,2042.07
47199,15102,2059.93
63255,90000,2513.15
8394,452661,5184.25
38428,52605,508.9
77064,356088,2897.33
